pclass,survived,name,sex,age,sibsp,parch,ticket,fare,cabin,embarked,boat,body,home.dest
3,0,"Laleff, Mr. Kristo",0,,0,0,349217,7.8958,,S,,,
3,1,"Lam, Mr. Ali",0,,0,0,1601,56.4958,,S,C,,
3,0,"Lam, Mr. Len",0,,0,0,1601,56.4958,,S,,,
3,1,"Landergren, Miss. Aurora Adelia",1,22,0,0,C 7077,7.25,,S,13,,
3,0,"Lane, Mr. Patrick",0,,0,0,7935,7.75,,Q,,,
3,1,"Lang, Mr. Fang",0,26,0,0,1601,56.4958,,S,14,,
3,0,"Larsson, Mr. August Viktor",0,29,0,0,7545,9.4833,,S,,,
3,0,"Larsson, Mr. Bengt Edvin",0,29,0,0,347067,7.775,,S,,,
3,0,"Larsson-Rondberg, Mr. Edvard A",0,22,0,0,347065,7.775,,S,,,
3,1,"Leeni, Mr. Fahim (""Philip Zenni"")",0,22,0,0,2620,7.225,,C,6,,
3,0,"Lefebre, Master. Henry Forbes",0,,3,1,4133,25.4667,,S,,,
3,0,"Lefebre, Miss. Ida",1,,3,1,4133,25.4667,,S,,,
3,0,"Lefebre, Miss. Jeannie",1,,3,1,4133,25.4667,,S,,,
3,0,"Lefebre, Miss. Mathilde",1,,3,1,4133,25.4667,,S,,,
3,0,"Lefebre, Mrs. Frank (Frances)",1,,0,4,4133,25.4667,,S,,,
3,0,"Leinonen, Mr. Antti Gustaf",0,32,0,0,STON/O 2. 3101292,7.925,,S,,,
3,0,"Lemberopolous, Mr. Peter L",0,34.5,0,0,2683,6.4375,,C,,196,
3,0,"Lennon, Miss. Mary",1,,1,0,370371,15.5,,Q,,,
3,0,"Lennon, Mr. Denis",0,,1,0,370371,15.5,,Q,,,
3,0,"Leonard, Mr. Lionel",0,36,0,0,LINE,0,,S,,,
3,0,"Lester, Mr. James",0,39,0,0,A/4 48871,24.15,,S,,,
3,0,"Lievens, Mr. Rene Aime",0,24,0,0,345781,9.5,,S,,,
3,0,"Lindahl, Miss. Agda Thorilda Viktoria",1,25,0,0,347071,7.775,,S,,,
3,0,"Lindblom, Miss. Augusta Charlotta",1,45,0,0,347073,7.75,,S,,,
3,0,"Lindell, Mr. Edvard Bengtsson",0,36,1,0,349910,15.55,,S,A,,
3,0,"Lindell, Mrs. Edvard Bengtsson (Elin Gerda Persson)",1,30,1,0,349910,15.55,,S,A,,
3,1,"Lindqvist, Mr. Eino William",0,20,1,0,STON/O 2. 3101285,7.925,,S,15,,
3,0,"Linehan, Mr. Michael",0,,0,0,330971,7.8792,,Q,,,
3,0,"Ling, Mr. Lee",0,28,0,0,1601,56.4958,,S,,,
3,0,"Lithman, Mr. Simon",0,,0,0,S.O./P.P. 251,7.55,,S,,,
3,0,"Lobb, Mr. William Arthur",0,30,1,0,A/5. 3336,16.1,,S,,,
3,0,"Lobb, Mrs. William Arthur (Cordelia K Stanlick)",1,26,1,0,A/5. 3336,16.1,,S,,,
3,0,"Lockyer, Mr. Edward",0,,0,0,1222,7.8792,,S,,153,
3,0,"Lovell, Mr. John Hall (""Henry"")",0,20.5,0,0,A/5 21173,7.25,,S,,,
3,1,"Lulic, Mr. Nikola",0,27,0,0,315098,8.6625,,S,15,,
3,0,"Lundahl, Mr. Johan Svensson",0,51,0,0,347743,7.0542,,S,,,
3,1,"Lundin, Miss. Olga Elida",1,23,0,0,347469,7.8542,,S,10,,
3,1,"Lundstrom, Mr. Thure Edvin",0,32,0,0,350403,7.5792,,S,15,,
3,0,"Lyntakoff, Mr. Stanko",0,,0,0,349235,7.8958,,S,,,
3,0,"MacKay, Mr. George William",0,,0,0,C.A. 42795,7.55,,S,,,
3,1,"Madigan, Miss. Margaret ""Maggie""",1,,0,0,370370,7.75,,Q,15,,
3,1,"Madsen, Mr. Fridtjof Arne",0,24,0,0,C 17369,7.1417,,S,13,,
3,0,"Maenpaa, Mr. Matti Alexanteri",0,22,0,0,STON/O 2. 3101275,7.125,,S,,,
3,0,"Mahon, Miss. Bridget Delia",1,,0,0,330924,7.8792,,Q,,,
3,0,"Mahon, Mr. John",0,,0,0,AQ/4 3130,7.75,,Q,,,
3,0,"Maisner, Mr. Simon",0,,0,0,A/S 2816,8.05,,S,,,
3,0,"Makinen, Mr. Kalle Edvard",0,29,0,0,STON/O 2. 3101268,7.925,,S,,,
3,1,"Mamee, Mr. Hanna",0,,0,0,2677,7.2292,,C,15,,
3,0,"Mangan, Miss. Mary",1,30.5,0,0,364850,7.75,,Q,,61,
3,1,"Mannion, Miss. Margareth",1,,0,0,36866,7.7375,,Q,16,,
3,0,"Mardirosian, Mr. Sarkis",0,,0,0,2655,7.2292,F E46,C,,,
3,0,"Markoff, Mr. Marin",0,35,0,0,349213,7.8958,,C,,,
3,0,"Markun, Mr. Johann",0,33,0,0,349257,7.8958,,S,,,
3,1,"Masselmani, Mrs. Fatima",1,,0,0,2649,7.225,,C,C,,
3,0,"Matinoff, Mr. Nicola",0,,0,0,349255,7.8958,,C,,,
3,1,"McCarthy, Miss. Catherine ""Katie""",1,,0,0,383123,7.75,,Q,15 16,,
3,1,"McCormack, Mr. Thomas Joseph",0,,0,0,367228,7.75,,Q,,,
3,1,"McCoy, Miss. Agnes",1,,2,0,367226,23.25,,Q,16,,
3,1,"McCoy, Miss. Alicia",1,,2,0,367226,23.25,,Q,16,,
3,1,"McCoy, Mr. Bernard",0,,2,0,367226,23.25,,Q,16,,
3,1,"McDermott, Miss. Brigdet Delia",1,,0,0,330932,7.7875,,Q,13,,
3,0,"McEvoy, Mr. Michael",0,,0,0,36568,15.5,,Q,,,
3,1,"McGovern, Miss. Mary",1,,0,0,330931,7.8792,,Q,13,,
3,1,"McGowan, Miss. Anna ""Annie""",1,15,0,0,330923,8.0292,,Q,,,
3,0,"McGowan, Miss. Katherine",1,35,0,0,9232,7.75,,Q,,,
3,0,"McMahon, Mr. Martin",0,,0,0,370372,7.75,,Q,,,
3,0,"McNamee, Mr. Neal",0,24,1,0,376566,16.1,,S,,,
3,0,"McNamee, Mrs. Neal (Eileen O'Leary)",1,19,1,0,376566,16.1,,S,,53,
3,0,"McNeill, Miss. Bridget",1,,0,0,370368,7.75,,Q,,,
3,0,"Meanwell, Miss. (Marion Ogden)",1,,0,0,SOTON/O.Q. 392087,8.05,,S,,,
3,0,"Meek, Mrs. Thomas (Annie Louise Rowley)",1,,0,0,343095,8.05,,S,,,
3,0,"Meo, Mr. Alfonzo",0,55.5,0,0,A.5. 11206,8.05,,S,,201,
3,0,"Mernagh, Mr. Robert",0,,0,0,368703,7.75,,Q,,,
3,1,"Midtsjo, Mr. Karl Albert",0,21,0,0,345501,7.775,,S,15,,
3,0,"Miles, Mr. Frank",0,,0,0,359306,8.05,,S,,,
3,0,"Mineff, Mr. Ivan",0,24,0,0,349233,7.8958,,S,,,
3,0,"Minkoff, Mr. Lazar",0,21,0,0,349211,7.8958,,S,,,
3,0,"Mionoff, Mr. Stoytcho",0,28,0,0,349207,7.8958,,S,,,
3,0,"Mitkoff, Mr. Mito",0,,0,0,349221,7.8958,,S,,,
3,1,"Mockler, Miss. Helen Mary ""Ellie""",1,,0,0,330980,7.8792,,Q,16,,
3,0,"Moen, Mr. Sigurd Hansen",0,25,0,0,348123,7.65,F G73,S,,309,
3,1,"Moor, Master. Meier",0,6,0,1,392096,12.475,E121,S,14,,
3,1,"Moor, Mrs. (Beila)",1,27,0,1,392096,12.475,E121,S,14,,
3,0,"Moore, Mr. Leonard Charles",0,,0,0,A4. 54510,8.05,,S,,,
3,1,"Moran, Miss. Bertha",1,,1,0,371110,24.15,,Q,16,,
3,0,"Moran, Mr. Daniel J",0,,1,0,371110,24.15,,Q,,,
3,0,"Moran, Mr. James",0,,0,0,330877,8.4583,,Q,,,
3,0,"Morley, Mr. William",0,34,0,0,364506,8.05,,S,,,
3,0,"Morrow, Mr. Thomas Rowan",0,,0,0,372622,7.75,,Q,,,
3,1,"Moss, Mr. Albert Johan",0,,0,0,312991,7.775,,S,B,,
3,1,"Moubarek, Master. Gerios",0,,1,1,2661,15.2458,,C,C,,
3,1,"Moubarek, Master. Halim Gonios (""William George"")",0,,1,1,2661,15.2458,,C,C,,
3,1,"Moubarek, Mrs. George (Omine ""Amenia"" Alexander)",1,,0,2,2661,15.2458,,C,C,,
3,1,"Moussa, Mrs. (Mantoura Boulos)",1,,0,0,2626,7.2292,,C,,,
3,0,"Moutal, Mr. Rahamin Haim",0,,0,0,374746,8.05,,S,,,
3,1,"Mullens, Miss. Katherine ""Katie""",1,,0,0,35852,7.7333,,Q,16,,
3,1,"Mulvihill, Miss. Bertha E",1,24,0,0,382653,7.75,,Q,15,,
3,0,"Murdlin, Mr. Joseph",0,,0,0,A./5. 3235,8.05,,S,,,
3,1,"Murphy, Miss. Katherine ""Kate""",1,,1,0,367230,15.5,,Q,16,,
3,1,"Murphy, Miss. Margaret Jane",1,,1,0,367230,15.5,,Q,16,,
3,1,"Murphy, Miss. Nora",1,,0,0,36568,15.5,,Q,16,,
3,0,"Myhrman, Mr. Pehr Fabian Oliver Malkolm",0,18,0,0,347078,7.75,,S,,,
3,0,"Naidenoff, Mr. Penko",0,22,0,0,349206,7.8958,,S,,,
3,1,"Najib, Miss. Adele Kiamie ""Jane""",1,15,0,0,2667,7.225,,C,C,,
3,1,"Nakid, Miss. Maria (""Mary"")",1,1,0,2,2653,15.7417,,C,C,,
3,1,"Nakid, Mr. Sahid",0,20,1,1,2653,15.7417,,C,C,,
3,1,"Nakid, Mrs. Said (Waika ""Mary"" Mowad)",1,19,1,1,2653,15.7417,,C,C,,
3,0,"Nancarrow, Mr. William Henry",0,33,0,0,A./5. 3338,8.05,,S,,,
3,0,"Nankoff, Mr. Minko",0,,0,0,349218,7.8958,,S,,,
3,0,"Nasr, Mr. Mustafa",0,,0,0,2652,7.2292,,C,,,
3,0,"Naughton, Miss. Hannah",1,,0,0,365237,7.75,,Q,,,
3,0,"Nenkoff, Mr. Christo",0,,0,0,349234,7.8958,,S,,,
3,1,"Nicola-Yarred, Master. Elias",0,12,1,0,2651,11.2417,,C,C,,
3,1,"Nicola-Yarred, Miss. Jamila",1,14,1,0,2651,11.2417,,C,C,,
3,0,"Nieminen, Miss. Manta Josefina",1,29,0,0,3101297,7.925,,S,,,
3,0,"Niklasson, Mr. Samuel",0,28,0,0,363611,8.05,,S,,,
3,1,"Nilsson, Miss. Berta Olivia",1,18,0,0,347066,7.775,,S,D,,
3,1,"Nilsson, Miss. Helmina Josefina",1,26,0,0,347470,7.8542,,S,13,,
3,0,"Nilsson, Mr. August Ferdinand",0,21,0,0,350410,7.8542,,S,,,
3,0,"Nirva, Mr. Iisakki Antino Aijo",0,41,0,0,SOTON/O2 3101272,7.125,,S,,,"Finland Sudbury, ON"
3,1,"Niskanen, Mr. Juha",0,39,0,0,STON/O 2. 3101289,7.925,,S,9,,
3,0,"Nosworthy, Mr. Richard Cater",0,21,0,0,A/4. 39886,7.8,,S,,,
3,0,"Novel, Mr. Mansouer",0,28.5,0,0,2697,7.2292,,C,,181,
3,1,"Nysten, Miss. Anna Sofia",1,22,0,0,347081,7.75,,S,13,,
3,0,"Nysveen, Mr. Johan Hansen",0,61,0,0,345364,6.2375,,S,,,
3,0,"O'Brien, Mr. Thomas",0,,1,0,370365,15.5,,Q,,,
3,0,"O'Brien, Mr. Timothy",0,,0,0,330979,7.8292,,Q,,,
3,1,"O'Brien, Mrs. Thomas (Johanna ""Hannah"" Godfrey)",1,,1,0,370365,15.5,,Q,,,
3,0,"O'Connell, Mr. Patrick D",0,,0,0,334912,7.7333,,Q,,,
3,0,"O'Connor, Mr. Maurice",0,,0,0,371060,7.75,,Q,,,
3,0,"O'Connor, Mr. Patrick",0,,0,0,366713,7.75,,Q,,,
3,0,"Odahl, Mr. Nils Martin",0,23,0,0,7267,9.225,,S,,,
3,0,"O'Donoghue, Ms. Bridget",1,,0,0,364856,7.75,,Q,,,
3,1,"O'Driscoll, Miss. Bridget",1,,0,0,14311,7.75,,Q,D,,
3,1,"O'Dwyer, Miss. Ellen ""Nellie""",1,,0,0,330959,7.8792,,Q,,,
3,1,"Ohman, Miss. Velin",1,22,0,0,347085,7.775,,S,C,,
3,1,"O'Keefe, Mr. Patrick",0,,0,0,368402,7.75,,Q,B,,
3,1,"O'Leary, Miss. Hanora ""Norah""",1,,0,0,330919,7.8292,,Q,13,,
3,1,"Olsen, Master. Artur Karl",0,9,0,1,C 17368,3.1708,,S,13,,
3,0,"Olsen, Mr. Henry Margido",0,28,0,0,C 4001,22.525,,S,,173,
3,0,"Olsen, Mr. Karl Siegwart Andreas",0,42,0,1,4579,8.4042,,S,,,
3,0,"Olsen, Mr. Ole Martin",0,,0,0,Fa 265302,7.3125,,S,,,
3,0,"Olsson, Miss. Elina",1,31,0,0,350407,7.8542,,S,,,
3,0,"Olsson, Mr. Nils Johan Goransson",0,28,0,0,347464,7.8542,,S,,,
3,1,"Olsson, Mr. Oscar Wilhelm",0,32,0,0,347079,7.775,,S,A,,
3,0,"Olsvigen, Mr. Thor Anderson",0,20,0,0,6563,9.225,,S,,89,"Oslo, Norway Cameron, WI"
3,0,"Oreskovic, Miss. Jelka",1,23,0,0,315085,8.6625,,S,,,
3,0,"Oreskovic, Miss. Marija",1,20,0,0,315096,8.6625,,S,,,
3,0,"Oreskovic, Mr. Luka",0,20,0,0,315094,8.6625,,S,,,
3,0,"Osen, Mr. Olaf Elon",0,16,0,0,7534,9.2167,,S,,,
3,1,"Osman, Mrs. Mara",1,31,0,0,349244,8.6833,,S,,,
3,0,"O'Sullivan, Miss. Bridget Mary",1,,0,0,330909,7.6292,,Q,,,
3,0,"Palsson, Master. Gosta Leonard",0,2,3,1,349909,21.075,,S,,4,
3,0,"Palsson, Master. Paul Folke",0,6,3,1,349909,21.075,,S,,,
3,0,"Palsson, Miss. Stina Viola",1,3,3,1,349909,21.075,,S,,,
3,0,"Palsson, Miss. Torborg Danira",1,8,3,1,349909,21.075,,S,,,
3,0,"Palsson, Mrs. Nils (Alma Cornelia Berglund)",1,29,0,4,349909,21.075,,S,,206,
3,0,"Panula, Master. Eino Viljami",0,1,4,1,3101295,39.6875,,S,,,
3,0,"Panula, Master. Juha Niilo",0,7,4,1,3101295,39.6875,,S,,,
3,0,"Panula, Master. Urho Abraham",0,2,4,1,3101295,39.6875,,S,,,
3,0,"Panula, Mr. Ernesti Arvid",0,16,4,1,3101295,39.6875,,S,,,
3,0,"Panula, Mr. Jaako Arnold",0,14,4,1,3101295,39.6875,,S,,,
3,0,"Panula, Mrs. Juha (Maria Emilia Ojala)",1,41,0,5,3101295,39.6875,,S,,,
3,0,"Pasic, Mr. Jakob",0,21,0,0,315097,8.6625,,S,,,
3,0,"Patchett, Mr. George",0,19,0,0,358585,14.5,,S,,,
3,0,"Paulner, Mr. Uscher",0,,0,0,3411,8.7125,,C,,,
3,0,"Pavlovic, Mr. Stefo",0,32,0,0,349242,7.8958,,S,,,
3,0,"Peacock, Master. Alfred Edward",0,0.75,1,1,SOTON/O.Q. 3101315,13.775,,S,,,
3,0,"Peacock, Miss. Treasteall",1,3,1,1,SOTON/O.Q. 3101315,13.775,,S,,,
3,0,"Peacock, Mrs. Benjamin (Edith Nile)",1,26,0,2,SOTON/O.Q. 3101315,13.775,,S,,,
3,0,"Pearce, Mr. Ernest",0,,0,0,343271,7,,S,,,
3,0,"Pedersen, Mr. Olaf",0,,0,0,345498,7.775,,S,,,
3,0,"Peduzzi, Mr. Joseph",0,,0,0,A/5 2817,8.05,,S,,,
3,0,"Pekoniemi, Mr. Edvard",0,21,0,0,STON/O 2. 3101294,7.925,,S,,,
3,0,"Peltomaki, Mr. Nikolai Johannes",0,25,0,0,STON/O 2. 3101291,7.925,,S,,,
3,0,"Perkin, Mr. John Henry",0,22,0,0,A/5 21174,7.25,,S,,,
3,1,"Persson, Mr. Ernst Ulrik",0,25,1,0,347083,7.775,,S,15,,
3,1,"Peter, Master. Michael J",0,,1,1,2668,22.3583,,C,C,,
3,1,"Peter, Miss. Anna",1,,1,1,2668,22.3583,F E69,C,D,,
3,1,"Peter, Mrs. Catherine (Catherine Rizk)",1,,0,2,2668,22.3583,,C,D,,
3,0,"Peters, Miss. Katie",1,,0,0,330935,8.1375,,Q,,,
3,0,"Petersen, Mr. Marius",0,24,0,0,342441,8.05,,S,,,
3,0,"Petranec, Miss. Matilda",1,28,0,0,349245,7.8958,,S,,,
3,0,"Petroff, Mr. Nedelio",0,19,0,0,349212,7.8958,,S,,,
3,0,"Petroff, Mr. Pastcho (""Pentcho"")",0,,0,0,349215,7.8958,,S,,,
3,0,"Petterson, Mr. Johan Emil",0,25,1,0,347076,7.775,,S,,,
3,0,"Pettersson, Miss. Ellen Natalia",1,18,0,0,347087,7.775,,S,,,
3,1,"Pickard, Mr. Berk (Berk Trembisky)",0,32,0,0,SOTON/O.Q. 392078,8.05,E10,S,9,,
3,0,"Plotcharsky, Mr. Vasil",0,,0,0,349227,7.8958,,S,,,
3,0,"Pokrnic, Mr. Mate",0,17,0,0,315095,8.6625,,S,,,
3,0,"Pokrnic, Mr. Tome",0,24,0,0,315092,8.6625,,S,,,
3,0,"Radeff, Mr. Alexander",0,,0,0,349223,7.8958,,S,,,
3,0,"Rasmussen, Mrs. (Lena Jacobsen Solvang)",1,,0,0,65305,8.1125,,S,,,
3,0,"Razi, Mr. Raihed",0,,0,0,2629,7.2292,,C,,,
3,0,"Reed, Mr. James George",0,,0,0,362316,7.25,,S,,,
3,0,"Rekic, Mr. Tido",0,38,0,0,349249,7.8958,,S,,,
3,0,"Reynolds, Mr. Harold J",0,21,0,0,342684,8.05,,S,,,
3,0,"Rice, Master. Albert",0,10,4,1,382652,29.125,,Q,,,
3,0,"Rice, Master. Arthur",0,4,4,1,382652,29.125,,Q,,,
3,0,"Rice, Master. Eric",0,7,4,1,382652,29.125,,Q,,,
3,0,"Rice, Master. Eugene",0,2,4,1,382652,29.125,,Q,,,
3,0,"Rice, Master. George Hugh",0,8,4,1,382652,29.125,,Q,,,
3,0,"Rice, Mrs. William (Margaret Norton)",1,39,0,5,382652,29.125,,Q,,327,
3,0,"Riihivouri, Miss. Susanna Juhantytar ""Sanni""",1,22,0,0,3101295,39.6875,,S,,,
3,0,"Rintamaki, Mr. Matti",0,35,0,0,STON/O 2. 3101273,7.125,,S,,,
3,1,"Riordan, Miss. Johanna ""Hannah""",1,,0,0,334915,7.7208,,Q,13,,
3,0,"Risien, Mr. Samuel Beard",0,,0,0,364498,14.5,,S,,,
3,0,"Risien, Mrs. Samuel (Emma)",1,,0,0,364498,14.5,,S,,,
3,0,"Robins, Mr. Alexander A",0,50,1,0,A/5. 3337,14.5,,S,,119,
3,0,"Robins, Mrs. Alexander A (Grace Charity Laury)",1,47,1,0,A/5. 3337,14.5,,S,,7,
3,0,"Rogers, Mr. William John",0,,0,0,S.C./A.4. 23567,8.05,,S,,,
3,0,"Rommetvedt, Mr. Knud Paust",0,,0,0,312993,7.775,,S,,,
3,0,"Rosblom, Miss. Salli Helena",1,2,1,1,370129,20.2125,,S,,,
3,0,"Rosblom, Mr. Viktor Richard",0,18,1,1,370129,20.2125,,S,,,
3,0,"Rosblom, Mrs. Viktor (Helena Wilhelmina)",1,41,0,2,370129,20.2125,,S,,,
3,1,"Roth, Miss. Sarah A",1,,0,0,342712,8.05,,S,C,,
3,0,"Rouse, Mr. Richard Henry",0,50,0,0,A/5 3594,8.05,,S,,,
3,0,"Rush, Mr. Alfred George John",0,16,0,0,A/4. 20589,8.05,,S,,,
3,1,"Ryan, Mr. Edward",0,,0,0,383162,7.75,,Q,14,,
3,0,"Ryan, Mr. Patrick",0,,0,0,371110,24.15,,Q,,,
3,0,"Saad, Mr. Amin",0,,0,0,2671,7.2292,,C,,,
3,0,"Saad, Mr. Khalil",0,25,0,0,2672,7.225,,C,,,
3,0,"Saade, Mr. Jean Nassr",0,,0,0,2676,7.225,,C,,,
3,0,"Sadlier, Mr. Matthew",0,,0,0,367655,7.7292,,Q,,,
3,0,"Sadowitz, Mr. Harry",0,,0,0,LP 1588,7.575,,S,,,
3,0,"Saether, Mr. Simon Sivertsen",0,38.5,0,0,SOTON/O.Q. 3101262,7.25,,S,,32,
3,0,"Sage, Master. Thomas Henry",0,,8,2,CA. 2343,69.55,,S,,,
3,0,"Sage, Master. William Henry",0,14.5,8,2,CA. 2343,69.55,,S,,67,
3,0,"Sage, Miss. Ada",1,,8,2,CA. 2343,69.55,,S,,,
3,0,"Sage, Miss. Constance Gladys",1,,8,2,CA. 2343,69.55,,S,,,
3,0,"Sage, Miss. Dorothy Edith ""Dolly""",1,,8,2,CA. 2343,69.55,,S,,,
3,0,"Sage, Miss. Stella Anna",1,,8,2,CA. 2343,69.55,,S,,,
3,0,"Sage, Mr. Douglas Bullen",0,,8,2,CA. 2343,69.55,,S,,,
3,0,"Sage, Mr. Frederick",0,,8,2,CA. 2343,69.55,,S,,,
3,0,"Sage, Mr. George John Jr",0,,8,2,CA. 2343,69.55,,S,,,
3,0,"Sage, Mr. John George",0,,1,9,CA. 2343,69.55,,S,,,
3,0,"Sage, Mrs. John (Annie Bullen)",1,,1,9,CA. 2343,69.55,,S,,,
3,0,"Salander, Mr. Karl Johan",0,24,0,0,7266,9.325,,S,,,
3,1,"Salkjelsvik, Miss. Anna Kristine",1,21,0,0,343120,7.65,,S,C,,
3,0,"Salonen, Mr. Johan Werner",0,39,0,0,3101296,7.925,,S,,,
3,0,"Samaan, Mr. Elias",0,,2,0,2662,21.6792,,C,,,
3,0,"Samaan, Mr. Hanna",0,,2,0,2662,21.6792,,C,,,
3,0,"Samaan, Mr. Youssef",0,,2,0,2662,21.6792,,C,,,
3,1,"Sandstrom, Miss. Beatrice Irene",1,1,1,1,PP 9549,16.7,G6,S,13,,
3,1,"Sandstrom, Mrs. Hjalmar (Agnes Charlotta Bengtsson)",1,24,0,2,PP 9549,16.7,G6,S,13,,
3,1,"Sandstrom, Miss. Marguerite Rut",1,4,1,1,PP 9549,16.7,G6,S,13,,
3,1,"Sap, Mr. Julius",0,25,0,0,345768,9.5,,S,11,,
3,0,"Saundercock, Mr. William Henry",0,20,0,0,A/5. 2151,8.05,,S,,,
3,0,"Sawyer, Mr. Frederick Charles",0,24.5,0,0,342826,8.05,,S,,284,
3,0,"Scanlan, Mr. James",0,,0,0,36209,7.725,,Q,,,
3,0,"Sdycoff, Mr. Todor",0,,0,0,349222,7.8958,,S,,,
3,0,"Shaughnessy, Mr. Patrick",0,,0,0,370374,7.75,,Q,,,
3,1,"Sheerlinck, Mr. Jan Baptist",0,29,0,0,345779,9.5,,S,11,,
3,0,"Shellard, Mr. Frederick William",0,,0,0,C.A. 6212,15.1,,S,,,
3,1,"Shine, Miss. Ellen Natalia",1,,0,0,330968,7.7792,,Q,,,
